token,text,easting,southing,kind,signed,access,industry,city,country,show,checked,remark,ref
,Bay Bridge,-114186,-9246,bridge,remote,yes,no,,US-CA,yes,2026-06,,
ca_burney,Burney,-107672,-26613,town,,,,,US-CA,yes,,,
,Cajon Summit,-99010,14590,pass,,,,,US-CA,yes,,4260ft,
,Camp Sacramanto,-106109,-10350,~,all,~,no,,US-CA,no,2026-06,nothing there in ATS,
,Cartago,-98724,3220,town,all,yes,no,,US-CA,yes,2026-06,,
ca_castaic,Castaic,,,,remote,no,no,,US-CA,no,2026-06,"doesn't seem to exist, indicated position is within Santa Clarita",
,Coachella,,,,,,,,US-CA,no,,position relative to Indio unclear,
,Collier Tunnel,-114123,-35070,tunnel,all,yes,no,,US-CA,yes,2026-06,derived from rest area,
,Coronado,-100823,23986,,,,,san_diego,US-CA,yes,,,
,Crane Flat,-105945,-6976,~,all,yes,no,,US-CA,yes,2026-06,,
ca_crestw,Crestwood Summit,,,pass,,,,,US-CA,yes,,4181ft,
,Crockett,-112149,-11876,exit,most,no,no,,US-CA,yes,2026-06,,
,Death Valley National Park,-94600,2900,nature,all,yes,no,,US-CA,yes,2026-06,,
,Donner Summit,-107654,-17874,pass,,,,,US-CA,yes,,7239ft,
,Douglas City,-114745,-26520,,,,,,US-CA,yes,,,
,Echo Summit,-106378,-9230,pass,,,,,US-CA,yes,,7382ft,
,Father Crowley Vista Point,-95518,3840,parking,all,yes,no,,US-CA,no,2026-06,,
ca_ggbridge,Golden Gate Bridge,,,bridge,,,,,US-CA,yes,,,
,Hilt,-110127,-32422,city,,,,hilt,US-CA,no,,,
,Historic Donner Summit,-108466,-16788,pass,,,,,US-CA,yes,,7135ft,
ca_janesvill,Janesville,-102720,-19830,town,remote,no,no,,US-CA,yes,2026-06,,
ca_kerman,Kerman,,,town,remote,~,~,,US-CA,no,2026-06,,
ca_lassenpk,Lassen Park,,,nature,remote,no,,,US-CA,no,2024,,
,Long Beach,-102410,19440,,,,,los_angeles,US-CA,yes,,,
ca_novato,Novato,-116840,-14540,,,,,,US-CA,yes,,,
ca_olancha,Olancha,,,hamlet,remote,yes,no,,US-CA,yes,2026-06,,
,Richmond,-113494,-12035,,,,,oakland,US-CA,yes,,,
,Richmond Bridge,-115030,-12365,bridge,remote,yes,no,,US-CA,yes,2026-06,,
ca_santabarb,Santa Barbara,-110660,12100,town,all,no,no,,US-CA,yes,2026-06,,
ca_santaclar,Santa Clarita,-103959,12547,,,,,,US-CA,yes,,,
ca_santamon,Santa Monica,-104784,16134,,,,,,US-CA,yes,,,
,Seacliff,-109187,12706,exit,remote,no,yes,oxnard,US-CA,yes,2026-06,,
ca_silverfor,Silverfork,,,hamlet,,,,,US-CA,yes,,,
ca_sonoma,Sonoma,-113964,-17719,town,remote,no,yes,sacramento,US-CA,yes,2026-06,,
ca_sthlktaho,South Lake Tahoe,,,,,,,,US-CA,yes,,,
,Strawberry,-105456,-10824,hamlet,,,,,US-CA,yes,,,
,Tehachapi Summit,-102464,9884,pass,,,,,US-CA,yes,,4064ft,
,Tejon Pass,-104640,10983,pass,,,,,US-CA,yes,,4144ft,
,Thornhill Broome Beach,-105930,15015,nature,all,no,no,,US-CA,no,2026-06,,
ca_tiogapass,Tioga Pass,,,pass,,,,,US-CA,yes,,,
,Yosemite National Park,-104500,-6300,nature,all,yes,no,,US-CA,yes,2026-06,,
