token,text,easting,southing,kind,signed,access,industry,city,country,show,checked,remark,ref
ca_burney,Burney,-107672,-26613,town,,,,,US-CA,yes,,,
,Cajon Summit,-99010,14590,pass,,,,,US-CA,yes,,4260ft,
,Camp Sacramanto,-106109,-10350,~,all,~,no,,US-CA,no,2026-06,nothing there in ATS,
,Cartago,-98724,3220,,,,,,US-CA,yes,,,
,Coachella,,,,,,,,US-CA,no,,position relative to Indio unclear,
,Coronado,-100823,23986,,,,,san_diego,US-CA,yes,,,
ca_crestw,Crestwood Summit,,,pass,,,,,US-CA,yes,,,
,Crockett,-112149,-11876,exit,most,no,no,,US-CA,yes,2026-06,,
,Donner Summit,-107654,-17874,pass,,,,,US-CA,yes,,7239ft,
,Douglas City,-114745,-26520,,,,,,US-CA,yes,,,
,Echo Summit,-106378,-9230,pass,,,,,US-CA,yes,,7382ft,
ca_ggbridge,Golden Gate Bridge,,,bridge,,,,,US-CA,yes,,,
,Hilt,-110127,-32422,city,,,,hilt,US-CA,no,,,
,Historic Donner Summit,-108466,-16788,pass,,,,,US-CA,yes,,7135ft,
ca_lassenpk,Lassen Park,,,nature,remote,no,,,US-CA,no,2024,,
,Long Beach,-102410,19440,,,,,los_angeles,US-CA,yes,,,
,Richmond,-113494,-12035,,,,,oakland,US-CA,yes,,,
,Seacliff,-109187,12706,exit,remote,no,yes,oxnard,US-CA,yes,2026-06,,
,Strawberry,-105456,-10824,hamlet,,,,,US-CA,yes,,,
,Tehachapi Summit,-102464,9884,pass,,,,,US-CA,yes,,4064ft,
,Tejon Pass,-104640,10983,pass,,,,,US-CA,yes,,4144ft,
ca_tiogapass,Tioga Pass,,,pass,,,,,US-CA,yes,,,
